eng,darija
rotten,m3foun
pragmatic,pragmati
unsatisfactory,ghayr mordi
part-time,w9t joz2i
flexible,marin
prominent,mchhor
reluctant,m3aard
decent,laa2i9
forthcoming,jjay
steep,mn7adr
applicable,kayttbbe9
passive,kasoul
grim,9bi7
blond,chheb
imminent,droka
rowdy,mobrzit
talkative,frra3
falsifier,mozwwir
rowdy,mohjjij
rowdy,mo3nfij
crazy,msbitr
drugged,m7chchech
scorner,msrhet
trickster,9walbi
crybaby,bkkay
deceitful,mokhlwid
predictable,motaw99a3
offensive,hojoumi
absurd,mtna9d
mighty,jbbar
uneasy,mrowwen
optical,basari
infinite,laniha2i
decorative,mdikori
quantitative,kammi
proportional,mtnaasb
bureaucratic,biro9rati
jealous,kayghir
fancy,khayali
jealous,mghyar
delicious,ldid
open,mftou7
closed,sad
closed,mesdoud
wrong,ghalet
different,mbeddel
used to,mwellef
cunning,mriguel
dizzy,dayekh
dizzy,mdowwakh
justified,mberrer
engaged,mrtabt
inspiring,molhim
sparse,mchttet
beardy,boul7ya
miraculous,khari9
exceptional,stitna2i
french,fransawi
spanish,sblyoni
american,mirikani
chinese,chinwi
arab,3rbi
hidden,mkhbbi
sure,mti99en
worry,9ala9
annoyance,tbrzit
anger,ghadab
amusement,nachat
acceptance,9oboul
courage,chaja3a
boredom,malal
apathy,lamobalat
curiosity,fdoul
depression,ka2aaba
disgusting,tay3yef
ecstasy,nchwa
embarrassment,i7raj
faith,2ymane
fear,khouf
frustration,i7baat
empathy,ta3atof
gratitude,chokr
greed,tm3
guilt,dnb
enthusiasm,7amas
happiness,sa3ada
hatred,karahia
envy,7asad
lust,chhwa
love,7obb
loneliness,wa7da
kindness,drafat
joy,fara7
jealousy,ghira
humiliation,dell
horror,ro3b
remorse,nnadam
rejection,rrafd
pity,chafa9a
passion,chaghaf
nostalgia,7anin
shyness,7chma
shock,sdma
shame,3ar
sadness,7ozn
suffering,mo3anat
obsession,wswas
grief,f9sa
ambition,tomou7
feeling,cho3our
emotion,3atifa
number,3adad
zero,sifr
zero,ziro
one,wahd
two,jouj
three,tlata
four,rb3a
five,khmsa
six,stta
seven,sb3a
eight,tmnia
nine,ts3oud
ten,3chra
eleven,7dach
twelve,tnach
thirteen,tlttach
fourteen,rb3tach
fifteen,khmstach
sixteen,sttach
seventeen,sb3tach
eighteen,tmntach
nineteen,ts3tach
twenty,3chrin
twenty one,wahd o 3chrin
twenty two,tnayn o 3chrin
twenty three,tlata o 3chrin
twenty four,rb3a o 3chrin
twenty five,khmsa o 3chrin
twenty six,stta o 3chrin
twenty seven,sb3a o 3chrin
twenty eight,tmnya o 3chrin
twenty nine,ts3oud o 3chrin
thirty,tlatin
forty,rb3in
fifty,khmsin
sixty,stin
seventy,sb3in
eighty,tmanin
ninety,ts3in
ninety one,wahd o ts3in
ninety two,tnayn o ts3in
ninety three,tlata o ts3in
ninety four,rb3a o ts3in
ninety five,khmsa o ts3in
ninety six,stta o ts3in
ninety seven,sb3a o ts3in
ninety eight,tmnya o ts3in
ninety nine,ts3oud o ts3in
hundred,myya
thousand,alf
million,mlyon
billion,mlyar
and,w
first,lwwl
third,ttalt
fourth,rrab3
fifth,lkhams
sixth,ssads
seventh,ssab3
eighth,ttamn
ninth,ttas3
tenth,l3achr
last,llkher
one-third,ttolot
one-fourth,rrobo3
one-fifth,lkhomos
one-sixth,ssodos
one-eighth,ttomon
one-tenth,l3ochor
clothes,7wayj
ring,khatm
shirt,9amija
pants,srwal
cap,kaskita
shoe,sbbat
socks,t9achr
shorts,chort
coat,kbbot
tie,grafata
hat,trbouch
jacket,tjakita
skirt,saya
underpants,slip
scarf,chal
jeans,djin
dress,kswa
suit,kostim
pajamas,pijama
diapers,likouch
gloves,ligat
button,sdfa
pocket,jib
earring,twang
bracelet,gormit
wallet,bstam
umbrella,mdll
skullcap,tagia
football shirt,touni
jellaba,jellaba
blgha,blgha
drraia,drra3ia
jabador,jabador
qaftan,9ftan
takchita,tkchita
cape,slham
vegetables,khdra
onion,bsla
tomato,maticha
pea,jelbana
eggplant,dnjal
pumpkin,gar3a
cabbage,mkowwr
potato,btata
cucumber,khyar
carrot,khizo
garlic,touma
cauliflower,chiflour
artichokes,9o9
cardoon,khrchouf
pepper,flfla
radishes,fjl
beans,loubia
fennel,bsbas
lettuce,khoss
turnip,lft
maize,kbal
coriander,9zbour
parsley,m3dnous
olives,zitoun
beet,barba
celery,krafs
courgette,kourjit
fruits,dissir
apple,tfa7
pear,bou3ouid
strawberry,friz
avocado,avoka
grape,3nb
fig,krmous
orange,limoun
lemon,7amd
pomegranate,rman
watermelon,dla7
peach,khoukh
kiwi,kiwi
cherry,7blmlouk
pineapple,ananas
melon,mnoun
melon,swihla
banana,banan
apricot,mchmach
mango,mang
mandarin orange,mandarine
dates,tmr
plums,br9o9
lenses,3ds
jujube,nbg
oak,bllot
almonds,llouz
mint,n3na3
raisins,zbib
eggs,bid
egg,bida
butter,zbda
bread,khbz
chewing gum,mska
sugar,skkar
salt,ml7a
chickpeas,7mms
soup,7rira
salad,chlada
meat,l7m
yeast,khmira
dough,3jina
cheese,frmaj
pasta,ch3ria
desserts,disir
ice cream,laglas
cake,kika
spices,3tria
wheat,gm7
flour,dgig
barley,ch3ir
cinnamon,9rfa
cumin,kmmon
cloves,9ronfl
saffron,z3fran
thyme,z3tr
alcohol,chchrab
beer,birra
juice,3asir
ingredients,ma9adir
hunger,jo3
thirst,3tch
appetite,chahia
grilled,mchwi
fried,m9li
roasted,m7mmr
crunchy,mgrml
dry,nachf
spicy,7arr
bitter,marr
burned,m7roug
vinegar,lkhell
french fries,btata frit
candy,s99ata
flavor,mada9
tagine,tajin
tanjia,tanjia
bastila,bstila
mhancha,m7nncha
faqqas,f99as
kaab ghzal,k3bghzal
sellou,sellou
briwat,briwat
chebbakia,chbbakia
ghriba,ghriba
qrichlat,9richlat
razzat el cadi,rzzt l9adi
money,l3a9a
capital,raslmal
price,ttaman
loan,salaf
loan,9rd
seller,byya3
buyer,chrray
selling,lbi3
bying,chchra
dirham,drhm
union,tti7ad
monopoly,7tikar
reserve,7tiyat
profit,rrb7
crisis,kriz
consult,stachr
stability,sti9rar
consumption,stihlak
tourist,sa2i7
business,biznis
commerce,tijara
bankruptcy,fayit
international,3alami
product,prodwi
program,brnamaj
stock exchange,borsa
insurance,lasorans
storage,tkhzin
planning,tkhtit
cost of living,lma3icha
service,srbis
plan,blan
salary,chhria
drug dealer,bznas
bill,faktoura
fishing,ssayd
private sector,l9ita3 lkhas
public sector,l9ita3 l3amm
funding,tmwil
work,3amal
resignation,sti9ala
income,mdkhoul
wealth,tterwa
amount,mblagh
liquidity,soyoula
bankruptcy,iflass
quarter,rob3
bonds,sanadat
shares,ashom
inheritance,lwert
products,sel3a
client,clian
tourism,siya7a
import,stawred
export,sader
deposit,tesbi9
deficit,3ajz
diversification,tanwi3
inflation,tadakhom
free,fabour
goods,sl3a
deflation,nkimash
interest,lfa2ida
sport,riada
boxing,box
jogging,jjra
stadium,tirane
gym,lasal
bodybuilding,l7did
sports commentator,mo3lli9
hobby,hiwaya
goal,hadaf
goalkeeper,goul
attacker,mohajim
defender,modafi3
referee,7akam
coach,modrrib
free kick,kofra
a tie,ta3adoul
cards,karta
cheater,ghchach
race,siba9
league,botola
basketball,baskit
baseball,bizbol
world cup,kasl3alam
chess,chtrnj
red,7mr
green,khdr
blue,zr9
white,byed
black,k7l
orange,limouni
grey,gri
brown,9hwi
brown,bonni
pink,fanidi
pink,wardi
purple,banafsaji
purple,9ou9i
yellow,sfr
maroon,maro
beige,bij
gold,dhbi
army green,khzzi
dark,mghlou9
second,tania
minute,d9i9a
day,yawm
the day before yesterday,wellbar7
the day after tomorrow,b3d ghdda
week,simana
month,chhr
century,9rn
monday,tnin
tuesday,tlat
wednesday,larb3
thursday,lkhmis
friday,jm3a
saturday,sbt
sunday,l7d
january,yanayir
february,fibrayr
march,mars
april,abril
may,may
june,yonyo
july,yolyoz
august,ghocht
september,chotanbir
october,oktoubr
november,nowanbir
december,dojanbir
january,chher wahd
february,chher jouj
march,chher tlata
april,chher rb3a
june,chher stta
july,chher sb3a
august,chher tmnia
september,chher ts3oud
october,chher 3chra
november,chher 7dach
december,chher tnach
time,w9t
future,most9bal
quarter to,llarob
five past,o 9sem
ten past,o 9smayn
quarter past,o rb3
half past,o ness
thirty five past,o sb3 9sam
twenty to,9ll toulout
ten to,9ll 9smayn
five to,9ll 9sm
since,mn
morning,sba7
midday,wst nhar
period,ftra
clock,magana
occasion,monasaba
half an hour,nssa3a
quarter of an hour,robo3sa3a
twenty minutes,tolotsa3a
behind,mora
on,fog
about,3la
after,b3d
among,fost
at,f
because of,bsbab
beside,7da
between,bin
by,b
by means of,bwasitat
during,fou9t
except,ma3ada
following,tab3
to,l
if,ila
including,bima fiha
inside,daakhl
outside,khaarj
regarding,bnnisba
toward,f ttijah
until,7tal
with,m3a
because,7it
in order to,bach
influenza,rrwa7
allergy,7asasia
asthma,ddi9a
ambulance,labilans
disease,marad
autism,taw77oud
varicella,bouchwika
insomnia,ara9
diarrhea,sshal
diarrhea,srisra
wound,jr7a
vomit,t9ya
stitch,ghrza
crutch,3kkaz
anesthetic,bnj
autopsy,tchri7
health,s77a
pain,alam
sneeze,3tsa
cough,k7ba
cell,khalia
chronic disease,marad mozmin
contagious disease,marad mo3di
eczema,gzima
epilepsy,ssr3
plague,ta3oun
rheumatism,romatizm
tonsils,l7la9m
fever,skhana
itching,7kka
paralysis,chalal
pus,gui7
inflammation,ltihab
piles,lbbaser
constipation,l9ebt
urine,boul
obesity,lghold
insanity,7ma9
abortion,ijhad
leprosy,jjdam
acne,7bb chchbab
headache,7ri9 rass
fractured,mheress
fracture,thrisa
irritable bowel syndrome,boumzwi
rose,wrda
thorn,chouk
trees,chjr
willow,safsaf
pine,sanawbar
branch,3rch
iris,sawsan
seed,zrri3a
grass,gazo
grass,rbi3
root,jdr
dog,kalb
cat,moch
donkey,hmar
lion,sbe3
cock,farrouj
tiger,nmer
hyena,dbe3
fish,hout
ant,nemla
turtle,fekroun
snail,beboch
mule,bghel
horse,aawd
sheep,5rouf
sheep,hawli
sheep,ne3ja
goat,ma3za
crocodile,timsah
elephant,fyl
calf,3jel
wolf,dyb
pig,7allouf
monkey,9ard
camel,jmal
dolphin,delfin
owl,mouka
fox,the3leb
cow,bagra
bear,dob
rabbit,9nia
bird,twyer
lizard,ti9lita
parrot,babbaghio
duck,batta
bee,na7la
crow,ghorab
pigeon,hmama
stork,bellarj
ostrich,naama
hedgehog,ganfoud
bat,khoffach
snake,7ench
shark,qirch
eagle,nser
penguin,bitriq
scorpion,aagrba
mosquito,namosa
fly,debana
flies,deban
animal,hayawan
insect,hachara
insects,hacharat
animals,hayawanat
bull,thour
dinosaur,daynasor
lizard,boubris
cattle,bhima
goose,wezza
peafowl,taawous
eel,semta
seal,foqma
cockroach,srra9 zzit
cockroach,bouj3ran
louses,gmel
beak,man9ar
wing,jnah
feather,rycha
beast,ghol
hippopotamus,faras nnahr
rhinoceros,wahid l9arn
zebra,7imar w7chi
leopard,fahd
cock,frroj
hoopoe,hodhod
hamster,hamster
panda,ppanda
koala,kwala
always,dayman
often,ghaaliban
soon,9aryban
early,bekri
perhaps,yemken
there,lhih
upstairs,lfou9
later,men be3d
a lot,bzaf
almost,ta9riban
sometimes,b3d lmerrat
rarely,nadiran
enough,kaafi
quickly,deghya
quickly,bzzerba
literally,7arfyyan
daily,yawmiyyan
recently,mo2kharan
together,mjmo3in
frankly,saraa7atan
safely,bi salam
again,3awtani
unfortunately,lil asaf
especially,khosousan
usually,3aadatan
simply,b basata
generally,3aammatan
actually,fl 7a9i9a
rather,bl2a7ra
already,saabi9an
directly,dirict
therefore,2idan
thus,bittali
easily,bsohola
eventually,flkher
exactly,tamaaman
currently,7alyan
constantly,b stimrar
properly,bel9a3ida
specifically,khaasatan
ahead,l9ddam
immediately,flblasa
relatively,nisbyyan
fairly,bl 3adl
primarily,awalan
completely,belkamil
seriously,blm39oul
mostly,3omouman
carefully,bchwiyya
clearly,bwodo7
essentially,asaasan
equally,gedged
necessarily,bdarora
personally,chkhsyan
regularly,bintidam
basically,fl2asas
effectively,fi3lyyan
initially,fl bdya
mainly,3ll 3omoum
twice,jojmrrat
everywhere,finemma
successfully,b naja7
automatically,automatikian
deeply,b 3om9
both,bjouj
student,tilmid
dean,aamid
blackboard,sabbora
physics,lfizik
math,riadiat
exam,imti7an
book,kitab
notebook,deftar
education,ta3lim
school,medrasa
class,qism
faculty,lafac
high school,tanaoui
university,ljami3a
diploma,diplome
administration,lidara
philosophy,falsafa
sciences,3ouloum
writing,kitaba
geometry,handasa
pen,stylo
pencil,qalam
eraser,mimhat
culture,taqafa
session,7isa
page,saf7a
question,soual
count,7ssab
length,toul
hight,irtifa3
hight,3low
phrase,joumla
experience,tajriba
wrong,5ata2
right,sahih
scissors,m9ass
kindergarten,raoud
specialization,ta5ssos
discussion,niqach
analysis,te7lil
exercise,tamrin
scholarship,minha
absence,ghiab
presence,7odour
minus,naqis
divided,me9soum
higher education,ddirasat l3olia
institute,me3hed
baccalaureate,lbac
essay,ma9aal
absence,sllan
pray,ssala
fasting,siam
pilgrimage,lhajj
mosque,jama3
jews,lihoud
faith,2yman
soul,rouh
heaven,janna
hell,nar
hell,jahnnam
afterlife,akhira
religion,dine
ablution,wodou
belief,i3ti9ad
satan,chaytan
demon,jenn
moses,mossa
caliph,5alifa
azrael,3zaryn
ghost,chabah
noah,nouh
evolution,tatwor
reward,jazaa
cross,salyb
circumcision,thara
circumcision,5tana
companions of the prophet,sa7aba
theory of islamic law,fi9h
islamic law,chariaa
interpretation of islamic law,fatwa
good,khair
evil,cherr
holy,mo9addas
jerusalem,l9ods
spirituality,rouhania
resurrection,l9iama
funeral,gnaza
sin,denb
morning prayer,sobh
noon prayer,dohr
afternoon prayer,l3aser
sunset prayer,lmghreb
evening prayer,laacha
sect,zaouia
christ,masy7
god,alah
prophet,rasoul
muslim,meslem
atheist,molhid
atheism,ilhad
minaret,sem3a
permitted,hlal
forbidden,hram
prayer rug,zrbia t ssla
human,bnadem
eye,3ain
nose,menkher
mouth,fomm
liver,kebda
lung,ria
kidney,kalwa
stomach,me3da
bone,3dam
intestine,msaren
heart,9alb
ear,oden
body,jassad
skin,jelda
skull,jomjoma
beard,le7ya
face,wjeh
eyebrow,hajb
saliva,ddfal
lips,chouarb
tongue,lisan
tooth,senna
neck,3ong
throat,9arjota
chest,sdar
cheek,7ank
forehead,jabha
tonsils,7la9em
elbow,mrfg
finger,sbe3
fingernail,dfer
abdomen,kerch
thigh,fkhed
knee,rokba
heel,gdem
back,dhar
rib,dal3a
vein,3ar9
backbone,3amoud fi9ari
hearing,ssem3
smell,chchemm
touch,llems
to burp,tgerre3
to yawn,tfawwah
to snore,chkher
haircut,hsana
to shave,7ssen
to comb,mchet
tattoo,wchem
mole,khala
him,howa
her,hya
you,ntouma
them,houma
everything,koulchi
this,hadi
these,hadou
when,foqach
where,fin
when,wa9tach
why,aalach
more,kter
less,9al
someone,chi 7ed
mine,diali
his,dialo
her,dialha
their,dialhom
our,dialna
mine,diawli
his,diawlo
her,diawlha
their,diawlhom
such,bhal
plenty of,3erram
music,musiqa
dance,chtih
singing,ghona
art,fann
theater,masra7
applause,tasfi9
photo,tswera
imagination,5ayal
light,daw2
creativity,ibdaa3
beauty,jamaal
poet,cha3ir
novelist,riwaa2i
film director,mo5rij
actor,momtil
engineering,handasa
sculpture,na7t
museum,mot7af
drum,tbel
guitar,gitar
tone,neghma
style,oslob
horizontal,ofoqi
vertical,3amodi
candle,cham3a
harmony,insijam
vibration,tza3zi3
rhythm,iy9a3
impression,ta2tir
supervising,ta2tir
design,tasmim
expression,te3bir
technique,tiqnia
symmetry,tamatol
distance,massafa
bridge,gantra
line,khatt
square,morba3
triangle,motlat
point,no9ta
voice,saout
beautiful,zwen
screen,chaacha
comedy,koumidya
sound,sawt
instrument,adaat
exhibition,ma3rid
festival,mihrajan
makeup,makyaj
popular,che3bi
series,mosellsal
channel,qanat
singer,moghenni
choir,jo9
qanun,9anon
my daughter,benti
my son,waldi
dad,bba
mom,mmi
my brother,5ouya
my sister,5ti
my uncle,aami
my aunt,aamti
my uncle,5ali
my aunt,5alti
my cousin,kozan
my cousin,wld aami
my cousin,wld aamti
my cousin,wld 5ali
my cousin,wld 5alti
my cousin,bnt aami
my cousin,bnt aamti
my cousin,bnt 5ali
my cousin,bnt 5alti
wife,zzawja
wife,lemra
husband,zzawj
husband,arrajel
married,mzwwj
married,mzwwja
single,3azri
children,drari
brothers,5out
sisters,5watat
uncles,5wal
uncles,a3mam
grandchild,hfid
grandfather,jedd
grandmother,jedda
family-in-law,nsaab
planet,kaoukab
continent,9arra
africa,ifriqia
europe,oroppa
country,bilad
country,doula
morocco,maghrib
algeria,ljaza2ir
portugal,lbart9iz
portugal,lbortoghal
germany,almanya
switzerland,souisra
japan,jjapoun
united states,lmirikan
united kingdom,negliz
belgium,beljika
italy,talian
egypt,misra
mauritania,mouritania
palestine,filistine
greece,yonan
city,madina
capital,3aasima
fez,faas
meknes,meknes
oujda,wejda
kenitra,qnitra
tetouan,titwan
temara,temara
safi,safi
mohammedia,mohammadia
khouribga,khouribga
casablanca,casa
casablanca,ddar lbida
marrakech,mrrakech
el jadida,el jadida
beni mellal,bni mllal
nador,nador
dar bouazza,dar bouazza
settat,sttat
berrechid,brrchid
khemisset,khemisset
inezgane,inzegane
ksar el kabir,l9ser lkbir
larache,l3raych
guelmim,golmim
khenifra,khonifra
berkane,berkane
taourirt,tawrirt
bouskoura,boskora
fqih ben saleh,f9ih bn sal7
dcheira,dcheira
oued zem,wad zem
kalaa sraghna,9el3a t sraghna
sidi slimane,sidi slimane
errachidia,errachidia
guercif,guersif
oulad teima,oulad teima
ben guerir,bngrir
tifelt,tifelt
lqliaa,lqli3a
sefrou,sfrou
essaouira,sswira
fnideq,lfnide9
sidi kacem,sidi 9asm
tantan,tan tan
ouarzazate,ouarzazat
souk el arbaa,sou9 lab3a
youssoufia,yousoufia
lahraouyine,lahraouiyine
ain harrouda,3in 7arouda
skhirat,sskhirat
ouazzane,ouazzan
benslimane,bensliman
al houceima,lhouceima
beni ansar,beni ansar
mdiq,lmdye9
sidi bennour,sidibnnour
midelt,midlt
azrou,azrou
jemaa el-fnaa square,jam3 lafna
map,5arita
post office,bousta
abroad,l5arij
mars,lmrrikh
moon,l9amar
bakery,makhbaza
below,ta7t
pharmacy,frmacian
east,cher9
west,gherb
south,janob
region,manta9a
station,ma7atta
shop,7anot
street,chaari3
road,tre9
highway,lotorout
neighborhood,siktour
square,sa7a
library,mektaba
hotel,hotel
clinic,clinique
swimming pool,picin
sidewalk,trotwar
direction,ittijah
right,limen
left,lisser
area,misaa7a
barber,7ejjam
barber,7ella9
butcher,guezzar
nurse,fermlia
electrician,trician
engineer,mohndis
peasant,fella7
journalist,sahafi
judge,qadi
lawyer,mou7ami
mechanic,mikanician
prosecutor,ouakil
cop,bolissi
painter,rassam
photographer,moswwer
waiter,serbay
waitress,serbaya
tailor,khiat
ambassador,safyr
advisor,mostachaar
shoemaker,khrraz
drink,chreb
enter,dkhl
go out,khraj
understand,fhm
explain,chra7
learn,qra
teach,9erra
see,chaaf
smell,chemm
taste,daq
touch,qas
ascend,tla3
go down,nzel
drown,ghra9
take off,slet
sell,baa3
write,kteb
clean,msa7
hit,dreb
salute,tsalem
fatigue,3ia
exhaust,tsakhsakh
laugh,d7ek
anger,ghdab
have,3ando
find,lqa
work,khdam
call,3ayyat
need,5ass
feel,7ass
become,wella
put,7att
tell,khber
help,3te9
prepare,wjjed
believe,aamn
try,jarreb
ask,swwel
remember,tfekker
show,beyyen
play,l3eb
run,jerra
cut,9atte3
talk,hder
thank,chkar
change,bddal
continue,kmmal
reject,rfad
learn,t3allam
send,sift
open,7all
choose,5tar
reach,wsal
decide,9arrar
enjoy,nchat
watch,itfrrej
lose,khsar
walk,tmecha
raise,kebber
imagine,tkheyyel
cause,sabbeb
break,harrass
listen,smaa
grow,kber
die,tweffa
visit,zaar
encourage,chajja3
protect,hama
kill,9tal
lie,kdeb
argue,t9aje7
remove,7ayyad
fill,3emmer
travel,saafr
attend,7dar
hurt,9ssa7
miss,zguel
concentrate,rekkez
prepare,saweb
press,werrek
arrive,wsel
ring,souna
welcome,r77eb
rely,3owwel
trust,taq
plan,khattet
reveal,frech
confirm,2akkad
marry,tjwwej
split,9sam
adopt,tbenna
ignore,tjahl
define,3rref
exercise,trina
demonstrate,berhen
guess,9elle3
vote,sawwt
deny,nker
hide,khebba
succeed,nje7
recognize,3taref
belong,intami
doubt,chakk
sing,ghenna
dare,z3em
wash,ghsel
jump,tlah
cook,tyyeb
sleep,n3es
wake up,faq
withdraw,nsahab
borrow,tsellef
question,sowwel
risk,5ater
forgive,same7
propose,9tare7
celebrate,7tafel
disappear,ghber
predict,twe99a3
complain,ngor
catch,9bat
catch,gbed
get up,naad
pass,daaz
stop,7bas
note,9ayyad
used to,wellef
mix,khallat
mislead,gyyed
burn,7reg
burn,7re9
warn,7edder
kiss,bas
evaluate,5taber
breathe,tneffes
exceed,faat
approve,saade9
occupy,7tall
free,7errer
smile,btasem
dig,7fer
respect,htarm
threaten,ihdded
store,5zn
shine,nwwer
swear,7lef
dream,7lem
absorb,sret
anticipate,stabe9
accuse,ttahem
shout,ghwwet
affect,2atter
arrest,3ta9el
bark,nba7
betray,5an
differ,khtalaf
keep,7tafed
fly,taar
pull,jarr
lift,hezz
know,3ref
describe,wsef
translate,tarjem
promise,w3ad
search,9elleb
love,7ebb
live,3aach
pay,khalles
use,stekhdem
receive,stalem
fail,fchel
insult,sebb
expose,fda7
apologize,3tader
hug,3nn9
regret,ndem
get used,t3wwed
sneeze,3tes
cough,k7eb
postpone,ajjal
exchange,tbaadel
volunteer,ttowe3
dupe,9ouleb
avoid,tjannab
neglect,hmel
meet,tlaqa
spy,tjassas
bury,dfen
can,9dr
can,guedd
must,khesso
take,5da
let,khella
move,t7arrak
turn,daar
consider,3taber
produce,ntj
ensure,dmn
support,d3m
speak,hdr
stand,w9af
stand,wgaf
sit,glas
agree,ttafe9
apply,tbba9
form,kowwn
reduce,n99es
save,n9d
require,ttallab
achieve,h99e9
deal,t3aml
face,twajh
cover,ghetta
tend,mal
draw,rsam
pick,3zl
discuss,tna9ech
maintain,gabel
exist,kayen
establish,nch2
establish,2assas
control,t7kkm
identify,7added
enable,mekken
claim,taaleb
obtain,ksb
represent,mettel
worry,techten
wonder,tsa2l
fit,naasb
regard,t3ll9
contact,ttasl
assume,ftared
cope,t2a9lam
determine,7dded
respond,rdd
depend,3tamed
notice,laa7d
rise,rtafe3
present,9eddem
perform,2adda
extend,madded
benefit,faad
treat,3aalej
hang,3lle9
secure,2mmen
last,towwl
contribute,sahem
relate,rtabt
attempt,7aawel
assist,sa3d
assist,3aawen
influence,2tter
stick,lse9
compare,9aren
record,chjjl
explore,ktachef
blame,lam
deliver,wssl
bother,berzet
force,frad
reckon,3ta9d
advise,ns7
acquire,ktasb
recover,sterje3
suspect,chtabh
destroy,hdm
compete,tnaafs
resist,9aawm
suit,la2em
impose,frd
recommend,wessa
attack,hjem
expand,ttosse3
roll,tkrkb
burst,nfajr
constitute,chekkel
train,drreb
communicate,7awr
climb,tsll9
implement,neffed
conclude,stntj
comply,mtatl
monitor,raa9b
monitor,gaabl
accommodate,sto3eb
dance,cht7
pray,sella
slip,zl9
commit,rtakeb
exclude,stb3ed
link,la9a
name,semma
upset,t9lle9
damage,khesser
paint,sbgh
react,tfaa3l
deserve,sta799
deserve,stahel
head,tr22s
practice,mares
knock,d99
abandon,tkhlla
shake,7rrek
incorporate,jssd
eliminate,zwwel
retire,t9a3ed
stimulate,7affez
stress,totter
interfere,tdekhel
object,3tared
facilitate,yesser
facilitate,sehhel
tie,3gd
dominate,siyter
pop,ferge3
design,sammem
yield,tll3
resign,sta9aal
stir,7rrk
spare,khesses
kick,drb
kick,rkl
list,3edded
assure,2kked
delay,2jjel
copy,n9l
copy,nskh
favor,fddl
hand,mdd
transform,7wwl
quit,ghadr
accompany,raafe9
fund,mmwel
correct,se77e7
steal,sr9
steal,chfr
hurry,zrb
light,dwwa
slow,tbaate2
conform,taab9
rush,zrrb
protest,7tjj
install,tebbet
aid,3aawn
correspond,ttab9
integrate,ndamej
extract,stekhrej
resume,st2nf
grasp,stou3eb
swing,tz3lel
render,sellem
confront,wajh
double,dobl
comprise,chtaml
squeeze,3sr
squeeze,bjgh
harm,aada
coincide,tzamn
warm,skhen
warm,deffa
bite,3add
devote,karres
provoke,stafezz
embrace,3an9
beware,7tares
resemble,tchaabh
wed,tjwwj
surprise,faaj2
drain,jffef
drain,stnzef
experiment,jrreb
stock,stoka
sit down,riye7
cheat,ghechch
peel,9cher
sea,b7r
river,ouad
tree,chajra
pollution,talwot
street,triq
cloud,dbaba
parc,jarda
sunrise,chorou9
sunset,ghoroub
sun,chamch
mars,marrikh
sky,ssma
thunder,r3da
cold,brd
wind,ry7
heat,sahd
extreme heat,ti99i9t
winter,chetwa
summer,ssef
climate,ljaw
earthquake,znzal
volcano,borkane
geography,joghrafya
foggy,mdabbab
hot,skhon
windy,m3ej3ej
wood,5kheb
iron,hdid
glass,jjaj
aluminum,aliminyom
stone,7jer
wool,ssofa
gold,dheb
leather,jeld
nylon,nilou
sand,remla
silver,fadda
star,nejma
wave,mawja
wild,5la
edge,7aafa
lake,bohayra
desert,sahra
waterfall,chellal
cave,ghaar
oasis,waa7a
ash,rmaad
mud,ghiss
humidity,rotoba
hurricane,i3saar
chair,krsi
table,tbla
water,lma
air,hawa
bottle,9ar3a
car,tomobil
motorcycle,moteur
thief,cheffar
grocery seller,moll7anout
tree,chejra
apartment,prtma
garden,jerda
sleep,naas
boy,wald
bicycle,picala
bus,tobis
avenue,chare3
alley,derb
neighborhood,7oma
stairs,droj
date palm,nekhla
year,aam
proud,fakhor
today,lioma
yesterday,lbare7
tomorrow,gheda
heat,sahd
habit,3ada
elections,intikhabat
parliament,barlaman
minister,wazir
enterprise,moqawala
friend,sahb
best friend,3cher
my friend,sahbi
my best friend,aachiri
market,souk
i know,frasi
you know,frasek
of,nta3
of,dial
pay,khllas
payment,5las
day,nhar
war,harb
prison,7abs
prisoner,habbas
gun,ferdi
rifle,mok7la
gun bullets,9artas
fork,forchita
desk,lbiro
window,cherjem
wake up,fia9
movement,haraka
stop,woqof
shower,t7am7ima
bathroom,hammam
bedroom,bit nn3as
kitchen,kozina
toilet,twalet
sweater,triko
glasses,ndader
reference,masdar
source,manba3
violence,3ounf
kingdom,memlaka
republic,jomhoria
public,jomhour
independent,mosta9il
army,3askar
arabic,l3arabia
well,mezian
conciliation,mosalaha
expertise,5ibra
committee,lajna
rights,7o9ou9
right,7a9
power,qowa
plate,tabsil
dishes,mmwa3n
air conditioner,laclim
problem,mouchkil
fire,aafia
accent,lehja
airplane,teyyara
effect,2atar
age,3omor
feeling,ihsas
balloon,neffakha
best,ahsan
birth,oulada
death,mawt
death,wafaat
birthday,3id milad
party,7efla
bite,3adda
bucket,stal
see you,nchofok
bodyguard,gardkour
box,sandou9
boat,floka
first name,smya
last name,knya
television,telfaza
depth,3oum9
change,taghyir
step,khotwa
method,tariqa
end,nihaya
story,9isa
saw,menchar
interest,mesla7a
fraction,tarf
wall,7ayt
position,mou9if
wisdom,7ikma
trip,rihla
key,sarot
type,naw3
value,9ima
sense,me3na
danger,5atar
soldier,3askri
search,te9lab
connection,ittisal
call,mokaalama
enemy,3dow
smoke,dokhan
steam,boukhar
path,masaar
dream,7elma
double,doble
camp,mo5yam
truck,camio
floor,etaj
ceiling,s9ef
elevator,sansor
balcony,balko
